time,pos1,pos2,vel1,vel2,tau1,tau2
2.218499999999991701e+00,1.025302096603555313e+00,-2.098015040146415267e+00,2.527008205888682468e+00,-4.425053854169930467e+00,0.000000000000000000e+00,-1.416464495418705027e+01
2.222999999999991871e+00,1.036673633530054373e+00,-2.117927782490180100e+00,2.520985887186249830e+00,-4.421433923394499033e+00,0.000000000000000000e+00,-1.370615107080377015e+01
2.227499999999992042e+00,1.048018070022392445e+00,-2.137824235145455276e+00,2.513472224709401015e+00,-4.415605929193638701e+00,0.000000000000000000e+00,-1.324335353273480820e+01
2.231999999999992212e+00,1.059328695033584733e+00,-2.157694461826826782e+00,2.504469953399627524e+00,-4.407621944961786831e+00,0.000000000000000000e+00,-1.277799523115157498e+01
2.236499999999992383e+00,1.070598809823883002e+00,-2.177528760579154898e+00,2.493983534943944758e+00,-4.397538688182041966e+00,0.000000000000000000e+00,-1.231172998034658583e+01
2.240999999999992554e+00,1.081821735731130829e+00,-2.197317684675974103e+00,2.482018867497578274e+00,-4.385416802739607434e+00,0.000000000000000000e+00,-1.184611937266299719e+01
2.245499999999992724e+00,1.092990820634869964e+00,-2.217052060288302151e+00,2.468583028981788718e+00,-4.371320189523643762e+00,0.000000000000000000e+00,-1.138263165551172307e+01
2.249999999999992895e+00,1.104099444265288055e+00,-2.236723001141158740e+00,2.453684057100028681e+00,-4.355315390730703839e+00,0.000000000000000000e+00,-1.092264228170109064e+01
2.254499999999993065e+00,1.115141022522238234e+00,-2.256321920399447123e+00,2.437330768020537164e+00,-4.337471031027765989e+00,0.000000000000000000e+00,-1.046743579684508241e+01
2.258999999999993236e+00,1.126109010978330716e+00,-2.275840540039072213e+00,2.419532614613494559e+00,-4.317857316792813371e+00,0.000000000000000000e+00,-1.001820874879042300e+01
2.263499999999993406e+00,1.136996907744091345e+00,-2.295270897964639900e+00,2.400299584205931147e+00,-4.296545593028053389e+00,0.000000000000000000e+00,-9.576073330684668150e+00
2.267999999999993577e+00,1.147798255873017981e+00,-2.314605353133265986e+00,2.379642135020469063e+00,-4.273607956222048365e+00,0.000000000000000000e+00,-9.142061498990674551e+00
2.272499999999993747e+00,1.158506645480610109e+00,-2.333836588936265333e+00,2.357571169782875398e+00,-4.249116920398541275e+00,0.000000000000000000e+00,-8.717129338525161586e+00
2.276999999999993918e+00,1.169115715744633022e+00,-2.352957615078058673e+00,2.334098044404153249e+00,-4.223145132802100576e+00,0.000000000000000000e+00,-8.302161477096451137e+00
2.281499999999994088e+00,1.179619156944451630e+00,-2.371961768175668173e+00,2.309234609150812467e+00,-4.195765135101447996e+00,0.000000000000000000e+00,-7.897975381650314652e+00
2.285999999999994259e+00,1.190010712685630301e+00,-2.390842711283624578e+00,2.282993279298268785e+00,-4.167049165608234240e+00,0.000000000000000000e+00,-7.505325395501994734e+00
2.290499999999994429e+00,1.200284182442472591e+00,-2.409594432528861851e+00,2.255387131905068010e+00,-4.137068997781478963e+00,0.000000000000000000e+00,-7.124906402038762465e+00
2.294999999999994600e+00,1.210433424536045299e+00,-2.428211243018878474e+00,2.226430025040490701e+00,-4.105895810188419759e+00,0.000000000000000000e+00,-6.757357024250588040e+00
2.299499999999994770e+00,1.220452359648727558e+00,-2.446687774164726381e+00,2.196136735538614548e+00,-4.073600083097316471e+00,0.000000000000000000e+00,-6.403262291760714930e+00
2.303999999999994941e+00,1.230334974958651406e+00,-2.465018974538664143e+00,2.164523111134704525e+00,-4.040251516966987921e+00,0.000000000000000000e+00,-6.063155727952517005e+00
2.308499999999995111e+00,1.240075328958757606e+00,-2.483200106365015536e+00,2.131606232664424283e+00,-4.005918968255758550e+00,0.000000000000000000e+00,-5.737520829617168694e+00
2.312999999999995282e+00,1.249667557005747609e+00,-2.501226741722166302e+00,2.097404581875082830e+00,-3.970670398186844974e+00,0.000000000000000000e+00,-5.426791930566875699e+00
2.317499999999995453e+00,1.259105877624185466e+00,-2.519094758514007104e+00,2.061938210315400255e+00,-3.934572830369228669e+00,0.000000000000000000e+00,-5.131354459096380438e+00
2.321999999999995623e+00,1.268384599570604676e+00,-2.536800336250668586e+00,2.025228904742323088e+00,-3.897692313476597725e+00,0.000000000000000000e+00,-4.851544617180187480e+00
2.326499999999995794e+00,1.277498129641945201e+00,-2.554339951661313446e+00,1.987300344517440864e+00,-3.860093885527908775e+00,0.000000000000000000e+00,-4.587648526899551271e+00
2.330999999999995964e+00,1.286440981192273680e+00,-2.571710374146189082e+00,1.948178246569064465e+00,-3.821841536688962204e+00,0.000000000000000000e+00,-4.339900906712051309e+00
2.335499999999996135e+00,1.295207783301834503e+00,-2.588908661061289251e+00,1.907890493676019483e+00,-3.782998167923142585e+00,0.000000000000000000e+00,-4.108483356585320934e+00
2.339999999999996305e+00,1.303793290523376669e+00,-2.605932152816943237e+00,1.866467242091365719e+00,-3.743625543259307520e+00,0.000000000000000000e+00,-3.893522346356996344e+00
